title,subtitle,series,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,month_read_num,year_read,bookshelf
Raising Hell,"The Reign, Ruin, and Redemption of Run-D.M.C. and Jam Master Jay",,"Ro, Ronin",3,3.52,Amistad,Hardcover,352,2005,April,4,2017,read
Ransom,,,"McInerney, Jay",4,3.27,Vintage,Hardcover,279,1985,February,2,2014,read
Ray Christensen's Gopher Tales,Stories from All Eleven University of Minnesota's Men's Sports,,"Christensen, Ray",4,4.5,Sports Publishing LLC,Hardcover,204,2002,June,6,2012,read
Reading Lolita in Tehran,A Memoir in Books,,"Nafisi, Azar",2,3.61,Random House Trade Paperbacks,Paperback,356,2003,September,9,2019,read
Ready Player One,,,"Cline, Ernest",5,4.31,Random House,Hardcover,374,2011,April,4,2015,read
Reamde,,,"Stephenson, Neal",4,3.94,William Morrow & Company,Hardcover,1044,2011,July,7,2014,read
Reckless,,"It Girl, #3","Ziegesar, Cecily von",4,3.76,Poppy,Paperback,288,2006,May,5,2015,read
Red Rabbit,,"Jack Ryan Universe, #03","Clancy, Tom",3,3.67,Putnam,Hardcover,640,2002,September,9,2017,read
Rembrandt's Whore,,,"Matton, Sylvie",2,3.38,Canongate Books,Hardcover,208,2001,July,7,2011,read
Repo Madness,,"Ruddy McCann, #2","Cameron, W. Bruce",4,4.12,Forge Books,Hardcover,368,2016,July,7,2019,read
Restitution,,,"Vance, Lee",4,3.51,Knopf,Hardcover,336,2007,April,4,2015,read
Revenge Wears Prada,The Devil Returns,"The Devil Wears Prada, #2","Weisberger, Lauren",3,2.78,Simon & Schuster,Hardcover,400,2015,July,7,2013,read
Road Work,"Among Tyrants, Heroes, Rogues, and Beasts",,"Bowden, Mark",4,3.7,Penguin,Hardcover,480,2004,August,8,2015,read
Roadside Crosses,,"Kathryn Dance, #2","Deaver, Jeffery",3,3.81,Simon & Schuster,Hardcover,397,2009,March,3,2018,read
Rock On,An Office Power Ballad,,"Kennedy, Dan",2,3.36,Algonquin Books,Paperback,224,2008,August,8,2018,read
Rodham,,,"Sittenfeld, Curtis",5,3.85,Random House,Hardcover,421,2020,June,6,2020,read
Rogue Lawyer,,"Rogue Lawyer, #1","Grisham, John",4,3.72,Doubleday,Hardcover,344,2015,December,12,2016,read
Rogue Warrior,,"Rogue Warrior, #1","Marcinko, Richard",3,3.94,Atria Books,Hardcover,336,1992,November,11,2014,read
Rolling Stone Magazine,The Uncensored History,,"Draper, Robert",4,3.85,Harper,Paperback,16,1990,September,9,2016,read
Rose Variations,,,"Chamberlain, Marisha",4,3,Soho,Hardcover,352,2009,July,7,2017,read
Round Rock,,,"Huneven, Michelle",4,3.88,Knopf,Hardcover,295,1999,January,1,2020,read
Running the Books,The Adventures of an Accidental Prison Librarian,,"Steinberg, Avi",4,3.51,Nan A. Talese,Hardcover,399,2010,August,8,2019,read
Running with the Buffaloes,"A Season Inside with Mark Wetmore, Adam Goucher, and the University of Colorado Men's Cross-Country Team",,"Lear, Chris",5,4.17,Lyons Press,Paperback,288,2000,May,5,2018,read
Sad Movies,,,"Lindquist, Mark",4,4.33,Atlantic Monthly Press,Paperback,196,1987,June,6,2018,read
"Saigon, Illinois",,,"Hoover, Paul",3,3.28,Vintage,Paperback,229,1988,December,12,2016,read
Saint Mudd,,,"Thayer, Steve",4,3.78,Signet,Hardcover,384,1988,July,7,2015,read
Santa and Pete,A Novel of Christmas Present and Past,,"Moore, Christopher Paul",4,3.46,Simon & Schuster,Hardcover,176,1998,December,12,2019,read
Saturday,,,"McEwan, Ian",3,3.63,Anchor,Paperback,289,2005,October,10,2017,read
Scent of the Missing,Love and Partnership with a Search-and-Rescue Dog,,"Charleson, Susannah",3,4.03,Houghton Mifflin Harcourt,Hardcover,285,2010,November,11,2015,read
SEAL Team Six,Memoirs of an Elite Navy SEAL Sniper,,"Wasdin, Howard E.",4,3.98,St. Martin's,Hardcover,331,2011,March,3,2014,read
SEAL Team Six Outcasts,,"SEAL Team Six Outcasts, #1","Wasdin, Howard E.",,3.94,Gallery Books,Hardcover,352,2012,December,12,2014,quit-reading
Season of the Loon,,,"Adams, David",3,3.67,North Star Press of St. Cloud,Paperback,208,2000,December,12,2017,read
Serious Pig,An American Cook in Search of His Roots,,"Thorne, John",,4.11,North Point Press,Hardcover,528,1996,October,10,2016,quit-reading
Sex and the Single Zillionaire,A Novel,,"Perkins, Tom",3,2.56,William Morrow & Company,Hardcover,304,2006,July,7,2011,read
Shotgun Lovesongs,,,"Butler, Nickolas",5,3.77,Thomas Dunne Books,Hardcover,320,2014,September,9,2015,read
Signifying Rappers,Rap and Race in the Urban Present,,"Costello, Mark",5,3.33,Ecco,Paperback,140,1990,August,8,2015,read
Skate for Goal!,Highlights from Minnesota's State Hockey Tournamant,,"Phillips, Gary L.",5,5,Afton Press,Paperback,123,1982,June,6,2015,read
Slam,,,"Hornby, Nick",5,3.27,G.P. Putnam's Sons,Hardcover,309,2007,December,12,2010,read
Sleeping in Flame,,,"Carroll, Jonathan",4,4.05,Vintage,Paperback,273,1988,April,4,2018,read
Sleeping With Extra-Terrestrials,The Rise of Irrationalism and Perils of Piety,,"Kaminer, Wendy",4,3.62,Pantheon,Hardcover,278,1999,November,11,2017,read
Sleeping with Schubert,,,"Marson, Bonnie",3,3.62,Random House,Hardcover,380,2004,February,2,2017,read
Sleepwalking,,,"Wolitzer, Meg",4,3.47,Riverhead,Paperback,272,1982,October,10,2016,read
Slow Horses,,"Slough House, #1","Herron, Mick",3,3.86,Soho,Paperback,320,2010,March,3,2017,read
Solar,,,"McEwan, Ian",4,3.21,Random House,Hardcover,287,2010,December,12,2014,read
Speak of the Devil,A Novel,,"Hawke, Richard",4,3.54,Random House,Hardcover,336,2006,May,5,2011,read
Speaking In Tongues,,,"Deaver, Jeffery",5,3.75,Simon & Schuster,Hardcover,336,1995,February,2,2011,read
Squaw Valley Gold,American Hockey's Olympic Odyssey,,"O'Coughlin, Seamus",3,4,iUniverse,Paperback,271,2001,April,4,2017,read
Startup,,,"Shafrir, Doree",2,3.37,Back Bay Books,Paperback,304,2018,February,2,2020,read
Statistical Evidence,,,"Royall, Richard",4,4,CRC Press,Hardcover,191,1997,April,4,2013,read
Statistics And Truth,Putting Chance To Work,,"Rao, C. Radhakrishna",4,4.18,World Scientific Publishing Company,Hardcover,192,1989,July,7,2018,read
Statistics Done Wrong,The Woefully Complete Guide,,"Reinhart, Alex",4,4.15,No Starch Press,Paperback,176,2013,May,5,2015,read
Statler Bros. Random Memories,,,"Reid, Harold",4,4.41,Yell Publishing Company,Hardcover,288,2008,July,7,2011,read
Stephen Florida,,,"Habash, Gabe",4,3.81,Coffee House Press,Paperback,304,2018,June,6,2020,read
Steve Jobs,,,"Isaacson, Walter",4,4.09,Simon & Schuster,Hardcover,656,2011,September,9,2014,read
Stolen Words,,,"Mallon, Thomas",3,3.88,Mariner Books,Paperback,336,1989,October,10,2017,read
Stone's Fall,,,"Pears, Iain",,3.85,Spiegel & Grau,Hardcover,594,2009,August,8,2011,quit-reading
Stop Stealing Sheep & Find Out How Type Works,,,"Spiekermann, Erik",4,3.89,Adobe Press,Paperback,213,2013,December,12,2015,read
Story of My Life,,,"McInerney, Jay",4,3.58,Atlantic Monthly Press,Hardcover,189,1988,August,8,2013,read
Straight Man,,,"Russo, Richard",5,4.02,Random House,Hardcover,391,1997,November,11,2013,read
Striking Back,The 1972 Munich Olympics Massacre and Israel's Deadly Response,,"Klein, Aaron J.",5,3.94,Random House,Paperback,288,2005,April,4,2019,read
Stylized,A Slightly Obsessive History of Strunk & White's The Elements of Style,,"Garvey, Mark",3,3.76,Touchstone,Hardcover,208,2009,January,1,2011,read
Success,,,"Amis, Martin",4,3.65,Harmony,Hardcover,224,1978,February,2,2013,read
Support and Defend,,"Jack Ryan Universe, #17","Greaney, Mark",4,4.07,G.P. Putnam's Sons,Hardcover,503,2014,August,8,2014,read
Supreme Courtship,,,"Buckley, Christopher",4,3.63,Grand Central Publishing,Hardcover,304,2008,March,3,2013,read
Sweet Tooth,,,"McEwan, Ian",5,3.39,Nan A. Talese,Hardcover,301,2012,April,4,2013,read
Sycamore Row,,"Jake Brigance, #2","Grisham, John",4,3.95,Doubleday,Hardcover,447,2013,August,8,2014,read
Tales from Q School,Inside Golf's Fifth Major,,"Feinstein, John",4,3.8,"Little, Brown and Company",Hardcover,343,2007,April,4,2019,read
Talking to Girls About Duran Duran,One Young Man's Quest for True Love and a Cooler Haircut,,"Sheffield, Rob",5,3.56,Dutton,Hardcover,288,2010,February,2,2011,read
Tampa,,,"Nutting, Alissa",4,3.3,Ecco,Hardcover,272,2013,November,11,2014,read
Telegraph Avenue,,,"Chabon, Michael",5,3.35,Fourth Estate,Hardcover,468,2012,January,1,2013,read
"Thank You, Goodnight",,,"Abramowitz, Andy",4,3.66,Touchstone,Hardcover,352,2015,November,11,2016,read
That Old Cape Magic,,,"Russo, Richard",4,3.32,Knopf,Hardcover,261,2009,March,3,2014,read
The 500,,"Mike Ford, #1","Quirk, Matthew",3,3.44,Reagan Arthur Books,Hardcover,336,2012,January,1,2015,read
The Advocate's Devil,,,"Dershowitz, Alan M.",3,3.4,Grand Central Publishing,Hardcover,352,1994,March,3,2014,read
The Alternative Hero,,,"Thornton, Tim",3,3.54,Knopf,Hardcover,416,2009,July,7,2017,read
The Altman Code,,"Covert-One, #4","Lynds, Gayle",1,3.94,St. Martin's,Paperback,410,2003,January,1,2017,read
The Archivist's Story,,,"Holland, Travis",4,3.52,The Dial Press,Hardcover,239,2007,January,1,2020,read
The Art Forger,,,"Shapiro, B.A.",5,3.71,Algonquin Books,Hardcover,360,2012,November,11,2017,read
The Art of Fielding,,,"Harbach, Chad",5,3.99,"Little, Brown and Company",Hardcover,512,2011,March,3,2018,read
The Art of the Footnote,The Intelligent Student's Guide to the Art and Science of Annotating Texts,,"Burkle-Young, Francis A.",4,4,University Press of America,Hardcover,168,1996,January,1,2017,read
The Art Thief,,,"Charney, Noah",4,2.98,Atria Books,Hardcover,304,2007,August,8,2011,read
The Artist and the Mathematician,"The Story of Nicolas Bourbaki, the Genius Mathematician Who Never Existed",,"Aczel, Amir D.",,3.19,Basic Books,Hardcover,272,2006,January,1,2014,quit-reading
The Associate,,,"Grisham, John",4,3.63,Doubleday,Hardcover,373,2009,December,12,2015,read
The Astronaut Wives Club,,,"Koppel, Lily",3,3.22,Grand Central Publishing,Hardcover,288,2013,April,4,2015,read
The Balcony,,,"Delury, Jane",3,3,"Little, Brown and Company",Hardcover,244,2018,January,1,2019,read
The Bellini Madonna,,,"Lowry, Elizabeth",,2.59,Quercus,Paperback,390,2008,March,3,2019,quit-reading
The Bodies Left Behind,,,"Deaver, Jeffery",3,3.77,Simon & Schuster,Hardcover,368,2008,March,3,2018,read
The Bone Woman,"A Forensic Anthropologist's Search for Truth in the Mass Graves of Rwanda, Bosnia, Croatia, and Kosovo",,"Koff, Clea",,4.03,Random House,Paperback,304,2001,April,4,2012,quit-reading
The Book of Lost Things,,,"Connolly, John",3,3.97,Washington Square Press,Paperback,470,2007,June,6,2020,read
The Book of Vice,Very Naughty Things (and How to Do Them),,"Sagal, Peter",4,3.43,Dey Street Books,Hardcover,272,2007,November,11,2011,read
The Book of Why,The New Science of Cause and Effect,,"Pearl, Judea",3,3.99,Basic Books,Hardcover,432,2018,April,4,2019,read
The Bookman's Wake,,"Cliff Janeway, #2","Dunning, John",5,3.93,Time Warner,Paperback,352,1996,August,8,2019,read
The Bookshop on the Corner,,,"Colgan, Jenny",3,3.85,William Morrow Paperbacks,Paperback,332,2016,December,12,2019,read
The Boy Who Fell Out of the Sky,,,"Dornstein, Ken",3,3.48,Random House,Hardcover,320,2006,December,12,2010,read
The Boys in the Boat,Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,,"Brown, Daniel James",5,4.35,Viking,Hardcover,416,2013,September,9,2018,read
The Brethren,,,"Grisham, John",3,3.73,Doubleday,Hardcover,366,2000,March,3,2016,read
The Broker,,,"Grisham, John",3,3.75,Doubleday,Hardcover,357,2005,December,12,2015,read
The Burgess Boys,,,"Strout, Elizabeth",5,3.56,Random House,Hardcover,320,2013,July,7,2018,read
The Caravaggio Conspiracy,"How Five Art Dealers, Four Policemen, Three Picture Restorers, Two Auction Houses, and a Journalist Plotted to Recover Some of the World's Most Beautiful Stolen Paintings",,"Watson, Peter",,3.56,Doubleday,Hardcover,321,1983,February,2,2014,quit-reading
The Cassandra Compact,,"Covert-One, #2","Ludlum, Robert",3,3.88,St. Martin's,Paperback,387,2001,September,9,2016,read
The Chamber,,,"Grisham, John",4,3.78,Doubleday,Hardcover,486,1994,August,8,2016,read
The Chickenshit Club,Why the Justice Department Fails to Prosecute Executives,,"Eisinger, Jesse",3,3.78,Simon  Schuster,Paperback,400,2018,January,1,2020,read
The CIA Document of Human Manipulation,Kubark Counterintelligence Interrogation Manual,,Central Intelligence Agency (C.I.A.),3,3.37,Createspace,Paperback,128,2008,November,11,2015,read
The Coincidence of Coconut Cake,,,"Reichert, Amy E.",4,3.69,Gallery Books,Paperback,318,2015,May,5,2019,read
The Computer from Pascal to Von Neumann,,,"Goldstine, Herman H.",2,3.53,Princeton University Press,Hardcover,378,1972,February,2,2011,read
The Confession,,,"Grisham, John",5,3.77,Doubleday,Hardcover,418,2010,November,11,2011,read
The Cuckoo's Egg,Tracking a Spy Through the Maze of Computer Espionage,,"Stoll, Clifford",5,4.21,Doubleday,Hardcover,326,1989,June,6,2016,read
The Curious Incident of the Dog in the Night-Time,,,"Haddon, Mark",3,3.87,Vintage,Paperback,226,2003,October,10,2018,read
The Dark Vineyard,,"Bruno, Chief of Police, #2","Walker, Martin",3,3.93,Vintage,Paperback,303,2011,June,6,2019,read
The Death and Life of Charlie St. Cloud,,,"Sherwood, Ben",5,3.99,Bantam,Hardcover,288,2004,February,2,2015,read
The Death of a President,"""11/1/1963""",,"Manchester, William",,4.22,Harper,Hardcover,711,1967,August,8,2013,quit-reading
The Design of Design,Essays from a Computer Scientist,,"Brooks, Frederick P., Jr.",2,3.74,Addison-Wesley,Paperback,421,2010,August,8,2017,read
The Devil's Details,A History of the Footnote,,"Zerby, Chuck",4,3.36,Invisible Cities Press Llc,Hardcover,192,2001,November,11,2010,read
The Devil's Punchbowl,,"Penn Cage, #3","Iles, Greg",3,4.07,Scribner,Hardcover,580,2009,May,5,2018,read
The Devotion of Suspect X,,,"Higashino, Keigo",3,3.94,Minotaur Books,Hardcover,298,2005,May,5,2013,read
The Diving Bell and the Butterfly,,,"Bauby, Jean-Dominique",4,4.01,Vintage,Paperback,132,1998,October,10,2019,read
The Drunkard's Walk,How Randomness Rules Our Lives,,"Mlodinow, Leonard",4,3.91,Pantheon,Hardcover,252,2008,August,8,2016,read
The Elegance of the Hedgehog,,,"Barbery, Muriel",3,3.77,Europa Editions,Paperback,325,2008,July,7,2019,read
The Elements of Style,,,"Strunk, William, Jr.",5,4.18,Longman Publishing Group,Hardcover,105,1918,March,3,2014,read
The Eyre Affair,,"Thursday Next, #1","Fforde, Jasper",3,3.91,Penguin,Hardcover,374,2001,February,2,2011,read
The Financial Lives of the Poets,,,"Walter, Jess",4,3.69,Harper,Hardcover,304,2009,June,6,2017,read
The Fire,,"The Eight, #2","Neville, Katherine",1,3.24,Ballantine Books,Hardcover,451,2008,July,7,2018,read
The Fire Gospel,,,"Faber, Michel",1,3.13,Canongate Books,Hardcover,208,2006,June,6,2018,read
The First Husband,,,"Dave, Laura",3,3.54,Viking,Hardcover,246,2011,July,7,2018,read
The Footprints of God,,,"Iles, Greg",3,3.76,Brilliance Audio,Hardcover,463,2003,January,1,2015,read
The Fugitive Game,Online with Kevin Mitnick,,"Littman, Jonathan",4,3.85,"Little, Brown and Company",Hardcover,383,1996,January,1,2017,read
The Game,,,"Dryden, Ken",3,4.12,Wiley,Paperback,320,1983,August,8,2017,read
The Girl in the Spider's Web,,"Millennium, #4","Lagercrantz, David",3,3.77,Knopf,Hardcover,400,2015,January,1,2020,read
The Girl Who Kicked the Hornet's Nest,,"Millennium, #3","Larsson, Stieg",3,4.18,Knopf,Hardcover,563,2007,February,2,2011,read
The Girl Who Loved Tom Gordon,,,"King, Stephen",3,3.58,Scribner,Hardcover,224,1999,March,3,2017,read
The Girl with the Dragon Tattoo,,"Millennium, #1","Larsson, Stieg",3,4.07,Knopf,Hardcover,465,2005,April,4,2011,read
The Girls from Ames,A Story of Women and a Forty-Year Friendship,,"Zaslow, Jeffrey",3,3.36,Gotham,Hardcover,297,2009,January,1,2019,read
The Givenchy Code,,"Codebreaker Trilogy, #1","Kenner, Julie",3,3.59,Pocket Books,Paperback,368,2005,November,11,2011,read
The God of Animals,,,"Kyle, Aryn",4,3.75,Scribner,Paperback,306,2008,March,3,2020,read
The Golden Compass,,"His Dark Materials, #1","Pullman, Philip",1,3.96,Knopf,Hardcover,399,1995,July,7,2016,read
The Good Life,,,"McInerney, Jay",4,3.34,Knopf,Hardcover,368,2006,August,8,2013,read
The Great American Novel,,,"Roth, Philip",3,3.64,Holt Rhinehart and Winston,Hardcover,382,1973,July,7,2016,read
The Great Typo Hunt,"Two Friends Changing the World, One Correction at a Time",,"Deck, Jeff",3,3.18,Crown,Hardcover,269,2010,July,7,2016,read
The Humanity Project,,,"Thompson, Jean",4,3.28,Blue Rider Press,Hardcover,352,2013,August,8,2015,read
The Hundred-Foot Journey,,,"Morais, Richard C.",4,3.55,Scribner,Paperback,242,2008,January,1,2019,read
The Hunger Games,,"The Hunger Games, #1","Collins, Suzanne",4,4.38,Scholastic Press,Hardcover,374,2008,May,5,2012,read
The Icarus Agenda,,,"Ludlum, Robert",,3.9,Random House,Hardcover,677,1988,May,5,2014,quit-reading
The Immortal Life of Henrietta Lacks,,,"Skloot, Rebecca",,4.02,Crown,Hardcover,370,2010,September,9,2014,quit-reading
The Imperfectionists,,,"Rachman, Tom",5,3.54,The Dial Press,Hardcover,272,2010,June,6,2017,read
The Improbability of Love,,,"Rothschild, Hannah Mary",4,3.67,Knopf,Hardcover,408,2015,July,7,2016,read
The Inner Circle,,"Culper Ring, #1","Meltzer, Brad",3,3.77,Grand Central Publishing,Hardcover,464,2011,May,5,2016,read
The Innocent,,,"McEwan, Ian",4,3.68,Vintage,Hardcover,226,1990,February,2,2015,read
The Interestings,,,"Wolitzer, Meg",3,3.56,Riverhead,Hardcover,468,2013,December,12,2016,read
The It Girl,,"It Girl, #1","Ziegesar, Cecily von",5,3.66,Poppy,Paperback,263,2005,January,1,2015,read
The Janson Directive,,"Paul Janson, #1","Ludlum, Robert",3,3.86,St. Martin's,Paperback,693,2002,August,8,2016,read
The Kill Room,,,"Deaver, Jeffery",3,3.79,Grand Central Publishing,Hardcover,484,2013,December,12,2013,read
The King of Methlehem,A Novel,,"Lindquist, Mark",4,3.2,Simon & Schuster,Hardcover,256,2007,April,4,2013,read
The King of Torts,,,"Grisham, John",3,3.67,Doubleday,Hardcover,372,2003,April,4,2016,read
The Know-It-All,One Man's Humble Quest to Become the Smartest Person in the World,,"Jacobs, A.J.",4,3.77,Simon & Schuster,Hardcover,386,2004,May,5,2012,read
The Last Amateurs,Playing for Glory and Honor in Division I College Basketball,,"Feinstein, John",4,3.97,Back Bay Books,Paperback,480,2001,February,2,2019,read
The Last Bookaneer,,,"Pearl, Matthew",2,3.31,Harvill Secker,Hardcover,400,2015,January,1,2017,read
The Last Dickens,,,"Pearl, Matthew",4,3.54,Random House,Hardcover,386,2009,June,6,2012,read
The Last Juror,,,"Grisham, John",4,3.86,Doubleday,Hardcover,355,2004,August,8,2016,read
The Last of the Savages,,,"McInerney, Jay",5,3.66,Knopf,Hardcover,271,1996,February,2,2014,read
The Last Romantics,,,"Conklin, Tara",4,3.75,William Morrow Paperbacks,Paperback,384,2020,July,7,2020,read
The Late Starters Orchestra,,,"Goldman, Ari L.",3,3.63,Algonquin Books,Hardcover,304,2014,January,1,2020,read
The Lazarus Vendetta,,"Covert-One, #5","Larkin, Patrick",3,3.92,St. Martin's,Paperback,416,2004,July,7,2015,read
The Leftovers,,,"Perrotta, Tom",3,3.35,St. Martin's,Hardcover,355,2011,April,4,2013,read
The Likeness,,"Dublin Murder Squad, #2","French, Tana",2,4.06,Viking,Hardcover,466,2008,July,7,2018,read
The Litigators,,,"Grisham, John",4,3.73,Doubleday,Hardcover,385,2011,December,12,2015,read
