"title","budget","age","mpaa"
"'Til There Was You",23000000,19,"PG-13"
"10 Things I Hate About You",16000000,17,"PG-13"
"100 Mile Rule",1100000,14,"R"
"13 Going On 30",37000000,12,"PG-13"
"13th Warrior, The",85000000,17,"R"
"15 Minutes",42000000,15,"R"
"1776",4000000,44,"PG"
"2 Fast 2 Furious",76000000,13,"PG-13"
"20 Dates",60000,18,"R"
"200 Cigarettes",6000000,17,"R"
"2001: A Space Travesty",26000000,16,"R"
"2046",12000000,12,"R"
"21 Grams",20000000,13,"R"
"24 Hour Woman, The",2500000,17,"R"
"25th Hour",15000000,14,"R"
"28 Days",43000000,16,"PG-13"
"28 Days Later...",8000000,14,"R"
"3000 Miles to Graceland",62000000,15,"R"
"40 Days and 40 Nights",17000000,14,"R"
"50 First Dates",75000000,12,"PG-13"
"51st State, The",28000000,15,"R"
"54",13000000,18,"R"
"6th Day, The",82000000,16,"PG-13"
"8 Mile",41000000,14,"R"
"8MM",40000000,17,"R"
"AVP: Alien Vs. Predator",45000000,12,"PG-13"
"Abandon",25000000,14,"PG-13"
"About Schmidt",30000000,14,"R"
"About a Boy",27000000,14,"PG-13"
"Absolon",8000000,13,"R"
"Absolute Power",50000000,19,"R"
"Abyss, The",69500000,27,"PG-13"
"Ace Ventura: Pet Detective",12000000,22,"PG-13"
"Ace Ventura: When Nature Calls",30000000,21,"PG-13"
"Adaptation.",19000000,14,"R"
"Adventures of Pluto Nash, The",100000000,14,"PG-13"
"Adventures of Robin Hood, The",1900000,78,"PG"
"Adventures of Rocky & Bullwinkle, The",76000000,16,"PG"
"Affliction",6000000,19,"R"
"After Image",1200000,15,"R"
"After the Sunset",58000000,12,"PG-13"
"Agent Cody Banks",26000000,13,"PG"
"Agent Cody Banks 2: Destination London",26000000,12,"PG"
"Air Bud",3000000,19,"PG"
"Air Force One",85000000,19,"R"
"Air Marshal",500000,13,"R"
"Alamo, The",95000000,12,"PG-13"
"Alan Smithee Film: Burn Hollywood Burn, An",10000000,19,"R"
"Albino Alligator",5000000,20,"R"
"Alexander",150000000,12,"R"
"Alferd Packer: The Musical",125000,20,"R"
"Alfie",60000000,12,"R"
"Ali",107000000,15,"R"
"Alien",11000000,37,"R"
"Alien Abduction",600000,11,"R"
"Alien Escape",1000000,19,"R"
"Alien: Resurrection",70000000,19,"R"
"Aliens",18500000,30,"R"
"All About the Benjamins",14000000,14,"R"
"All the Pretty Horses",45000000,16,"PG-13"
"All the Queen's Men",25000000,15,"PG-13"
"All the Real Girls",1000000,13,"R"
"Almost Famous",60000000,16,"R"
"Alone in the Dark",20000000,11,"R"
"Along Came Polly",42000000,12,"PG-13"
"Along Came a Spider",28000000,15,"R"
"Amadeus",18000000,32,"R"
"America's Sweethearts",48000000,15,"PG-13"
"American Beauty",15000000,17,"R"
"American History X",10000000,18,"R"
"American Outlaws",35000000,15,"PG-13"
"American Pie",11000000,17,"R"
"American Pie 2",30000000,15,"R"
"American President, The",62000000,21,"PG-13"
"American Psycho",8000000,16,"R"
"American Wedding",55000000,13,"R"
"American Werewolf in Paris, An",22000000,19,"R"
"Amistad",40000000,19,"R"
"Amityville Horror, The",18000000,11,"R"
"Amores perros",2000000,16,"R"
"Anacondas: The Hunt for the Blood Orchid",25000000,12,"PG-13"
"Analyze This",30000000,17,"R"
"Anchorman: The Legend of Ron Burgundy",26000000,12,"PG-13"
"Angel Eyes",38000000,15,"R"
"Anger Management",75000000,13,"PG-13"
"Animal, The",22000000,15,"R"
"Animatrix: Final Flight of the Osiris, The",5000000,13,"PG-13"
"Anna and the King",75000000,17,"PG-13"
"Antitrust",30000000,15,"PG-13"
"Antwone Fisher",12500000,14,"PG-13"
"Antz",60000000,18,"PG"
"Any Given Sunday",62000000,17,"R"
"Anything Else",18000000,13,"R"
"Anywhere But Here",23000000,17,"PG-13"
"Apocalypse Now",31500000,37,"R"
"Apollo 13",62000000,21,"PG"
"Apostle, The",5000000,19,"PG-13"
"Apt Pupil",14000000,18,"R"
"Are We There Yet?",32000000,11,"PG"
"Arlington Road",21500000,17,"R"
"Armageddon",140000000,18,"PG-13"
"Army of Darkness",11000000,23,"R"
"Around the Fire",1200000,17,"R"
"Around the World in 80 Days",110000000,12,"PG"
"Artificial Intelligence: AI",90000000,15,"PG-13"
"As Good as It Gets",50000000,19,"PG-13"
"Assassins",50000000,21,"R"
"Assault on Precinct 13",20000000,11,"R"
"Astronaut's Wife, The",34000000,17,"R"
"At First Sight",40000000,17,"PG-13"
"Atlantis: The Lost Empire",90000000,15,"PG"
"Attic Expeditions, The",1000000,15,"R"
"Austin Powers in Goldmember",63000000,14,"PG-13"
"Austin Powers: International Man of Mystery",17000000,19,"PG-13"
"Austin Powers: The Spy Who Shagged Me",33000000,17,"PG-13"
"Auto Focus",7000000,14,"R"
"Autumn in New York",40000000,16,"PG-13"
"Avalon",8000000,15,"R"
"Avengers, The",60000000,18,"PG-13"
"Aviator, The",116000000,12,"PG-13"
"Awfully Big Adventure, An",4000000,21,"R"
"Baby Boy",16000000,15,"R"
"Baby Geniuses",13000000,17,"PG"
"Bachelor, The",21000000,17,"PG-13"
"Bad Boys",23000000,21,"R"
"Bad Boys II",130000000,13,"R"
"Bad Company",70000000,14,"PG-13"
"Bad Moon",7000000,20,"R"
"Bad Santa",18000000,13,"R"
"Badge, The",6000000,14,"R"
"Bait",35000000,16,"R"
"Ballad of Jack and Rose, The",1500000,11,"R"
"Ballistic: Ecks vs. Sever",70000000,14,"R"
"Bamboozled",10000000,16,"R"
"Bananas",2000000,45,"PG-13"
"Bandits",80000000,15,"PG-13"
"Banger Sisters, The",10000000,14,"R"
"Baptists at Our Barbecue",500000,12,"PG"
"Barbershop",12000000,14,"PG-13"
"Barbershop 2: Back in Business",18000000,12,"PG-13"
"Basic",50000000,13,"R"
"Basic Instinct",49000000,24,"R"
"Basil",10000000,18,"R"
"Basket, The",3000000,17,"PG"
"Batman & Robin",110000000,19,"PG-13"
"Batman Forever",100000000,21,"PG-13"
"Battle of Shaker Heights, The",1000000,13,"PG-13"
"Battlefield Earth: A Saga of the Year 3000",73000000,16,"PG-13"
"Be Cool",53000000,11,"PG-13"
"Beach, The",50000000,16,"R"
"Bean",22000000,19,"PG-13"
"Beautiful",9000000,16,"PG-13"
"Beautiful Country, The",6000000,12,"R"
"Beautiful Mind, A",60000000,15,"PG-13"
"Beavis and Butt-Head Do America",12000000,20,"PG-13"
"Because of Winn-Dixie",14000000,11,"PG"
"Bedazzled",48000000,16,"PG-13"
"Before Sunset",10000000,12,"R"
"Behind Enemy Lines",40000000,15,"PG-13"
"Being Julia",18000000,12,"R"
"Belly",10000000,18,"R"
"Belly of the Beast",18000000,13,"R"
"Beloved",53000000,18,"R"
"Beowulf",20000000,17,"R"
"Best Laid Plans",7000000,17,"R"
"Best in Show",6000000,16,"PG-13"
"Better Luck Tomorrow",250000,14,"R"
"Beyond Borders",35000000,13,"R"
"Beyond Rangoon",23000000,21,"R"
"Beyond Re-Animator",3000000,13,"R"
"Beyond the Mat",500000,17,"R"
"Beyond the Sea",24000000,12,"PG-13"
"Bicentennial Man",100000000,17,"PG"
"Big Bounce, The",50000000,12,"PG-13"
"Big Brass Ring, The",7000000,17,"R"
"Big Bully",15000000,20,"PG"
"Big Daddy",34200000,17,"PG-13"
"Big Fat Liar",15000000,14,"PG"
"Big Fish",70000000,13,"PG-13"
"Big Hit, The",13000000,18,"R"
"Big Lebowski, The",15000000,18,"R"
"Big Momma's House",30000000,16,"PG-13"
"Big Tease, The",4000000,17,"R"
"Big Trouble",40000000,14,"PG-13"
"Bigger Than the Sky",750000,11,"PG-13"
"Billy Elliot",5000000,16,"R"
"Birth",20000000,12,"R"
"Birthday Girl",13000000,15,"R"
"Black Hawk Down",90000000,15,"R"
"Black Knight",50000000,15,"PG-13"
"Black and White",10000000,17,"R"
"Blacktop",3500000,16,"R"
"Blade",45000000,18,"R"
"Blade II",55000000,14,"R"
"Blade: Trinity",65000000,12,"R"
"Blair Witch Project, The",35000,17,"R"
"Blast from the Past",35000000,17,"PG-13"
"Bless the Child",40000000,16,"R"
"Blind Horizon",5100000,13,"R"
"Blood Work",50000000,14,"R"
"Blood and Wine",26000000,20,"R"
"Blood, Guts, Bullets and Octane",7300,18,"R"
"Bloody Sunday",5000000,14,"R"
"Blow",30000000,15,"R"
"Blue Crush",30000000,14,"PG-13"
"Blue Hill Avenue",1200000,15,"R"
"Blues Brothers 2000",28000000,18,"PG-13"
"Boat Trip",20000000,14,"R"
"Body of Influence 2",1200000,20,"R"
"Bogus",32000000,20,"PG"
"Boiler Room",9000000,16,"R"
"Bon voyage",20000000,13,"PG-13"
"Bone Collector, The",48000000,17,"R"
"Bone Snatcher, The",6000000,13,"R"
"Bones",16000000,15,"R"
"Boogeyman",20000000,11,"PG-13"
"Boogie Nights",15000000,19,"R"
"Book of Mormon Movie, Volume 1: The Journey, The",2000000,13,"PG-13"
"Book of Shadows: Blair Witch 2",15000000,16,"R"
"Boot, Das",14000000,35,"R"
"Borrowers, The",29000000,19,"PG"
"Bounce",35000000,16,"PG-13"
"Bound",4500000,20,"R"
"Bourne Identity, The",75000000,14,"PG-13"
"Bourne Supremacy, The",75000000,12,"PG-13"
"Bowfinger",55000000,17,"PG-13"
"Bowling for Columbine",4000000,14,"R"
"Boys Don't Cry",2000000,17,"R"
"Boys and Girls",16000000,16,"PG-13"
"Brady Bunch Movie, The",12000000,21,"PG-13"
"Braveheart",53000000,21,"R"
"Bravo Two Zero",6500000,17,"R"
"Bread, My Sweet, The",600000,15,"PG-13"
"Break Up",9000000,18,"R"
"Breakdown",36000000,19,"R"
"Breakfast of Champions",12000000,17,"R"
"Breathing Room",500000,20,"R"
"Breed, The",4000000,15,"R"
"Bride & Prejudice",7000000,12,"PG-13"
"Bride of Chucky",25000000,18,"R"
"Bride of the Wind",12000000,15,"R"
"Bridge of Dragons",4000000,17,"R"
"Bridges of Madison County, The",22000000,21,"PG-13"
"Bridget Jones's Diary",26000000,15,"R"
"Bridget Jones: The Edge of Reason",70000000,12,"R"
"Brigham City",1000000,15,"PG-13"
"Bring It On",10000000,16,"PG-13"
"Bringing Down the House",35000000,13,"PG-13"
"Bringing Out the Dead",32000000,17,"R"
"Broken Arrow",65000000,20,"R"
"Broken Vessels",600000,18,"R"
"Brooklyn Bound",70000,12,"R"
"Brother",12000000,16,"R"
"Brother from Another Planet, The",300000,32,"R"
"Brothers McMullen, The",23800,21,"R"
"Brown Sugar",8000000,14,"PG-13"
"Bruce Almighty",81000000,13,"PG-13"
"Bruno",10000000,16,"PG-13"
"Brylcreem Boys, The",6000000,18,"PG-13"
"Bubba Ho-tep",1000000,14,"R"
"Bubble Boy",13000000,15,"PG-13"
"Buffalo '66",1500000,18,"R"
"Buffalo Soldiers",15000000,15,"R"
"Bug Buster",8500000,18,"PG-13"
"Bulletproof Monk",52000000,13,"PG-13"
"Burial Society, The",1500000,14,"R"
"But I'm a Cheerleader",1200000,17,"R"
"Butterfly Effect, The",13000000,12,"R"
"C'era una volta il West",5000000,48,"PG-13"
"CQ",7000000,15,"R"
"Cabin Fever",1500000,14,"R"
"Cable Guy, The",47000000,20,"PG-13"
"Cafe Society",3500000,21,"R"
"Calling Bobcat",230000,16,"R"
"Can't Be Heaven",2000000,16,"PG"
"Can't Hardly Wait",10000000,18,"PG-13"
"Cape Fear",35000000,25,"R"
"Captain Corelli's Mandolin",57000000,15,"R"
"Carandiru",6000000,13,"R"
"Carnival of Souls",2000000,18,"R"
"Carpool",17000000,20,"PG"
"Casino",52000000,21,"R"
"Casper",55000000,21,"PG"
"Cast Away",90000000,16,"PG-13"
"Cat in the Hat, The",109000000,13,"PG"
"Catch Me If You Can",52000000,14,"PG-13"
"Catch That Kid",18000000,12,"PG"
"Cats & Dogs",60000000,15,"PG"
"Catwoman",85000000,12,"PG-13"
"Cecil B. DeMented",10000000,16,"R"
"Celebrity",12000000,18,"R"
"Cell, The",33000000,16,"R"
"Cellular",25000000,12,"PG-13"
"Chain Reaction",55000000,20,"PG-13"
"Chain of Fools",20000000,16,"R"
"Chairman of the Board",10000000,18,"PG-13"
"Chamber, The",50000000,20,"R"
"Changing Habits",1200000,19,"R"
"Changing Lanes",45000000,14,"R"
"Charlie",5000000,12,"R"
"Charlie's Angels",92000000,16,"PG-13"
"Charlie's Angels: Full Throttle",120000000,13,"PG-13"
"Charlotte Sometimes",80000,14,"R"
"Charly",950000,14,"PG"
"Chasing Amy",250000,19,"R"
"Chasing Liberty",23000000,12,"PG-13"
"Cheaper by the Dozen",40000000,13,"PG"
"Cherish",1500000,14,"R"
"Cherry Falls",14000000,16,"R"
"Chicago",45000000,14,"PG-13"
"Children On Their Birthdays",10000000,14,"PG"
"Chill Factor",34000000,17,"R"
"Chopin. Pragnienie milosci",3500000,14,"R"
"Christmas with the Kranks",60000000,12,"PG"
"Chronicles of Riddick, The",110000000,12,"PG-13"
"Chuck&Buck",250000,16,"R"
"Ciao America",5000000,14,"R"
"Cidade de Deus",3300000,14,"R"
"Cider House Rules, The",24000000,17,"PG-13"
"Cinderella Story, A",20000000,12,"PG"
"Citizen Verdict",10000000,13,"R"
"City Hall",40000000,20,"R"
"City by the Sea",60000000,14,"R"
"City of Angels",55000000,18,"PG-13"
"City of Ghosts",17500000,14,"R"
"Civil Action, A",60000000,18,"PG-13"
"Civil Brand",500000,14,"R"
"Claudine's Return",2000000,18,"R"
"Claustrophobia",114000,13,"R"
"Clay Pigeons",8000000,18,"R"
"Clerks.",230000,22,"R"
"Climb, The",2500000,14,"PG"
"Clockers",25000000,21,"R"
"Clockstoppers",26000000,14,"PG"
"Club Dread",9000000,12,"R"
"Clubland",4000000,17,"R"
"Clueless",20000000,21,"PG-13"
"Coach Carter",30000000,11,"PG-13"
"Cockettes, The",300000,14,"R"
"Code 46",7500000,13,"R"
"Cold Heart",3000000,15,"R"
"Cold Hearts",900000,17,"R"
"Cold Mountain",83000000,13,"R"
"Collateral",65000000,12,"R"
"Collateral Damage",85000000,14,"R"
"Commandments",5000000,19,"R"
"Committed",3000000,16,"R"
"Company Man",16000000,16,"PG-13"
"Company, The",15000000,13,"PG-13"
"Comunidad, La",2000000,16,"R"
"Confession, The",4000000,17,"R"
"Confessions of a Dangerous Mind",29000000,14,"R"
"Confessions of a Teenage Drama Queen",15000000,12,"PG"
"Confidence",15000000,13,"R"
"Congo",50000000,21,"PG-13"
"Conspiracy Theory",75000000,19,"R"
"Contact",90000000,19,"PG"
"Contender, The",9000000,16,"R"
"Cop Land",15000000,19,"R"
"Copycat",20000000,21,"R"
"Core, The",74000000,13,"PG-13"
"Corky Romano",11000000,15,"PG-13"
"Coronado",4700000,13,"PG-13"
"Cotton Mary",3500000,17,"R"
"Count of Monte Cristo, The",35000000,14,"PG-13"
"Country of My Skull",12000000,12,"R"
"Courage Under Fire",46000000,20,"R"
"Coyote Ugly",45000000,16,"R"
"Cradle 2 the Grave",25000000,13,"R"
"Cradle Will Rock",32000000,17,"R"
"Craft, The",15000000,20,"R"
"Crash",6500000,12,"R"
"Crazy in Alabama",15000000,17,"PG-13"
"Crazy/Beautiful",14000000,15,"PG-13"
"Crew, The",23000000,16,"PG-13"
"Crier, The",250000,21,"R"
"Crime Partners 2000",250000,15,"R"
"Crime Spree",10000000,13,"R"
"Crimen del padre Amaro, El",1800000,14,"R"
"Crimson Tide",53000000,21,"R"
"Critical Care",12000000,19,"R"
"Crocodile Dundee in Los Angeles",25000000,15,"PG"
"Crocodile Hunter: Collision Course, The",13000000,14,"PG"
"Crossplot",1000000,47,"PG-13"
"Crossroads",12000000,14,"PG-13"
"Crow: City of Angels, The",13000000,20,"R"
"Crow: Salvation, The",25000000,16,"R"
"Cruel Intentions",11000000,17,"R"
"Cry of the Banshee",500000,46,"R"
"Curdled",2309723,20,"R"
"Curse of the Jade Scorpion, The",26000000,15,"PG-13"
"Curse of the Puppet Master",250000,18,"R"
"Cursed",35000000,11,"R"
"Cutaway",9000000,16,"R"
"Cutthroat Island",92000000,21,"PG-13"
"Cypher",7500000,14,"R"
"D-Tox",55000000,14,"R"
"D.E.B.S.",3500000,12,"PG-13"
"Daddy Day Care",60000000,13,"PG"
"Daddy and Them",4000000,15,"R"
"Dagon",4800000,15,"R"
"Damned, The",30000,15,"R"
"Dancing in September",850000,16,"R"
"Dangerous Lives of Altar Boys, The",12000000,14,"R"
"Dante's Peak",104000000,19,"PG-13"
"Daredevil",75000000,13,"R"
"Dark Blue",15000000,14,"R"
"Dark Heaven",80000,14,"R"
"Darkness Falls",11000000,13,"PG-13"
"Dawn of the Dead",28000000,12,"R"
"Day After Tomorrow, The",125000000,12,"PG-13"
"Day Without a Mexican, A",1500000,12,"R"
"Day of Defense",500000,13,"PG"
"Daylight",80000000,20,"PG-13"
"Dead Babies",1000000,16,"R"
"Dead Hate the Living!, The",150000,16,"R"
"Dead Man Walking",11000000,21,"R"
"Dead Man on Campus",14000000,18,"R"
"Dead Man's Curve",1000000,18,"R"
"Dead Presidents",15000000,21,"R"
"Death 4 Told",85000,12,"R"
"Death to Smoochy",55000000,14,"R"
"Deconstructing Harry",20000000,19,"R"
"Decoys",5000000,12,"R"
"Deep Blue Sea",78000000,17,"R"
"Deep End of the Ocean, The",40000000,17,"PG-13"
"Deep End, The",3000000,15,"R"
"Deep Impact",75000000,18,"PG-13"
"Deep Rising",45000000,18,"R"
"Defender, The",6000000,12,"R"
"Delivered",1000000,18,"R"
"Dellamorte Dellamore",4000000,22,"R"
"Demolitionist, The",1000000,21,"R"
"Dentist II, The",1800000,18,"R"
"Derailed",18000000,14,"R"
"Desperado",7000000,21,"R"
"Destino",1500000,13,"PG"
"Detention",10000000,13,"R"
"Detroit Rock City",15000000,17,"R"
"Deuce Bigalow: Male Gigolo",18000000,17,"R"
"Deuces Wild",10000000,14,"R"
"Devil's Advocate, The",57000000,19,"R"
"Devil's Own, The",80000000,19,"R"
"Devil's Pond",5000000,13,"R"
"Diary of a Mad Black Woman",5500000,11,"PG-13"
"Dick",13000000,17,"PG-13"
"Dickie Roberts: Former Child Star",17000000,13,"PG-13"
"Die Another Day",142000000,14,"PG-13"
"Die Hard: With a Vengeance",90000000,21,"R"
"Different Loyalty, A",13000000,12,"R"
"Digimon: The Movie",5000000,16,"PG"
"Dill Scallion",500000,17,"PG-13"
"Dinosaur",127500000,16,"PG"
"Diplomatic Siege",45000000,17,"R"
"Dirty Pretty Things",10000000,14,"R"
"Dirty Work",13000000,18,"PG-13"
"Disturbing Behavior",15000000,18,"R"
"Divine Secrets of the Ya-Ya Sisterhood",27000000,14,"PG-13"
"Doctor Dolittle",71500000,18,"PG-13"
"Doctor Sleep",10000000,14,"R"
"Doctor Zhivago",11000000,51,"PG-13"
"Dodgeball: A True Underdog Story",20000000,12,"PG-13"
"Dog of Flanders, A",7000000,17,"PG"
"Dogma",10000000,17,"R"
"Dom durakov",2500000,14,"R"
"Domestic Disturbance",53000000,15,"PG-13"
"Dominion",1300000,21,"R"
"Don't Say a Word",50000000,15,"R"
"Donnie Brasco",35000000,19,"R"
"Donnie Darko",4500000,15,"R"
"Double Jeopardy",40000000,17,"R"
"Double Take",24000000,15,"PG-13"
"Double Tap",8000000,19,"R"
"Double Whammy",4000000,15,"R"
"Down Time",20000,15,"R"
"Down and Out with the Dolls",1200000,15,"R"
"Down to Earth",30000000,15,"PG-13"
"Down to You",9000000,16,"PG-13"
"Dr T and the Women",12000000,16,"R"
"Dr. Dolittle 2",72000000,15,"PG"
"Dr. Jekyll and Ms. Hyde",8000000,21,"PG-13"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1800000,52,"PG"
"Dracula",40000000,24,"R"
"Dracula 2000",28000000,16,"R"
"Dragonfly",60000000,14,"PG-13"
"Dreamcatcher",68000000,13,"R"
"Drive",3500000,19,"R"
"Drive Me Crazy",8000000,17,"PG-13"
"Driven",72000000,15,"PG-13"
"Drowning Mona",16000000,16,"PG-13"
"Drumline",20000000,14,"PG-13"
"Dude, Where's My Car?",13000000,16,"PG-13"
"Dudley Do-Right",22000000,17,"PG"
"Duets",15000000,16,"R"
"Dumb & Dumber",16000000,22,"PG-13"
"Dumb and Dumberer: When Harry Met Lloyd",19000000,13,"PG-13"
"Dungeons & Dragons",35000000,16,"PG-13"
"Duplex",40000000,13,"PG-13"
"Dusting Cliff 7",1300000,20,"R"
"DysFunktional Family",3000000,13,"R"
"E.T. the Extra-Terrestrial",10500000,34,"PG"
"Ed Wood",18000000,22,"R"
"Eddie",30000000,20,"PG-13"
"Edges of the Lord",7500000,15,"R"
"Edtv",60000000,17,"PG-13"
"Eight Legged Freaks",30000000,14,"PG-13"
"Eighteenth Angel, The",25000000,18,"R"
"Election",8500000,17,"R"
"Elektra",43000000,11,"PG-13"
"Elephant",3000000,13,"R"
"Elf",33000000,13,"PG"
"Elizabeth",25000000,18,"R"
"Ella Enchanted",35000000,12,"PG"
"Elvira's Haunted Hills",1500000,15,"PG-13"
"Embrace of the Vampire",800000,22,"R"
"Emma",6000000,20,"PG"
"Emmett's Mark",4500000,14,"R"
"Emperor's Club, The",12500000,14,"PG-13"
"Empire",3500000,14,"R"
"End of Days",83000000,17,"R"
"End of Violence, The",5000000,19,"R"
"End of the Affair, The",23000000,17,"R"
"Enemy at the Gates",70000000,15,"R"
"Enemy of the State",90000000,18,"R"
"English Patient, The",27000000,20,"R"
"Enough",38000000,14,"PG-13"
"Enter the Dragon",850000,43,"R"
"Entrapment",66000000,17,"PG-13"
"Envy",40000000,12,"PG-13"
"Equilibrium",20000000,14,"R"
"Era of Vampire, The",1000000,14,"R"
"Eraser",100000000,20,"R"
"Erin Brockovich",51000000,16,"R"
"Escanaba in da Moonlight",1000000,15,"PG-13"
"Escape from L.A.",50000000,20,"R"
"Espinazo del diablo, El",4500000,15,"R"
"Eternal Sunshine of the Spotless Mind",20000000,12,"R"
"Eulogy",10000000,12,"R"
"EuroTrip",25000000,12,"R"
"Eve's Bayou",5000000,19,"R"
"Evelyn",10000000,14,"PG"
"EvenHand",500000,14,"R"
"Event Horizon",70000000,19,"R"
"Ever After",26000000,18,"PG"
"Everlasting Piece, An",14000000,16,"R"
"Everyone Says I Love You",20000000,20,"R"
"Everything Put Together",500000,16,"R"
"Evil Alien Conquerors",500000,14,"PG-13"
"Evita",55000000,20,"PG"
"Evolution",80000000,15,"PG-13"
"Exit Wounds",33000000,15,"R"
"Exorcist: The Beginning",30000000,12,"R"
"Extreme Measures",38000000,20,"R"
"Extreme Ops",40000000,14,"PG-13"
"Eye for an Eye",20000000,20,"R"
"Eye of the Beholder",15000000,17,"R"
"Eyes Wide Shut",65000000,17,"R"
"Facade",6000000,16,"R"
"Face/Off",80000000,19,"R"
"Faculty, The",15000000,18,"R"
"Fahrenheit 9/11",6000000,12,"R"
"Fair Game",50000000,21,"R"
"Faithful",13000000,20,"R"
"Falls, The",75000,13,"R"
"Family Man, The",60000000,16,"PG-13"
"Fan, The",55000000,20,"R"
"Fantasma dell'opera, Il",10000000,18,"R"
"Far from Heaven",13500000,14,"PG-13"
"Fargo",7000000,20,"R"
"Fascination",5000000,12,"R"
"Fast and the Furious, The",38000000,15,"PG-13"
"Father of the Bride Part II",30000000,21,"PG"
"Fathers' Day",85000000,19,"PG-13"
"Faust: Love of the Damned",6000000,15,"R"
"Fear X",6600000,13,"PG-13"
"FearDotCom",42000000,14,"R"
"Femme Fatale",35000000,14,"R"
"Feng yun xiong ba tian xia",10000000,18,"PG-13"
"Festen",1300000,18,"R"
"Fever",6000000,17,"R"
"Fever Pitch",39690000,11,"PG-13"
"Fifth Element, The",90000000,19,"PG-13"
"Fight Club",63000000,17,"R"
"Final",80000,15,"R"
"Final Destination",23000000,16,"R"
"Final Destination 2",26000000,13,"R"
"Final Fantasy: The Spirits Within",137000000,15,"PG-13"
"Final Solution",1500000,15,"R"
"Finding Forrester",43000000,16,"PG-13"
"Finding Graceland",10000000,18,"PG-13"
"Fire Over Afghanistan",155000,13,"R"
"Firestorm",19000000,18,"R"
"Firm, The",42000000,23,"R"
"First Knight",75000000,21,"PG-13"
"First Love, Last Rites",300000,19,"R"
"Flawless",27000000,17,"R"
"Flight of the Phoenix",45000000,12,"PG-13"
"Flintstones in Viva Rock Vegas, The",58000000,16,"PG"
