"title","budget","age","mpaa"
"Flossin",86000,15,"PG-13"
"Following",6000,18,"R"
"For Love of the Game",50000000,17,"PG-13"
"Foreign Correspondents",500000,17,"PG-13"
"Foreigner, The",20000000,13,"R"
"Forever Lulu",20000000,16,"R"
"Forgotten, The",42000000,12,"PG-13"
"Forrest Gump",55000000,22,"PG-13"
"Forsaken, The",5000000,15,"R"
"Fortress 2",11000000,17,"R"
"Four Feathers, The",80000000,14,"PG-13"
"Four Rooms",4000000,21,"R"
"Four Weddings and a Funeral",6000000,22,"R"
"Frailty",11000000,15,"R"
"Frankenfish",3000000,12,"R"
"Frankenstein",45000000,22,"R"
"Freaky Friday",26000000,13,"PG"
"Freddy Got Fingered",15000000,15,"R"
"Freddy Vs. Jason",25000000,13,"R"
"Freddy's Dead: The Final Nightmare",5000000,25,"R"
"Free Money",30000000,18,"R"
"Freeway",3000000,20,"R"
"Freeway II: Confessions of a Trickbaby",2000000,17,"R"
"Freeze Frame",2000000,12,"R"
"Frequency",31000000,16,"PG-13"
"Frida",12000000,14,"R"
"Friday",3500000,21,"R"
"Friday After Next",20000000,14,"R"
"Friday Night Lights",30000000,12,"PG-13"
"From Dusk Till Dawn",20000000,20,"R"
"From Hell",35000000,15,"R"
"From Justin to Kelly",12000000,13,"PG"
"Frostbite",2400000,11,"R"
"Full Clip",500000,12,"R"
"Full Frontal",2000000,14,"R"
"Full Monty, The",3500000,19,"R"
"Galaxy Quest",45000000,17,"PG"
"Game of Their Lives, The",20000000,11,"PG"
"Game, The",50000000,19,"R"
"Gangs of New York",97000000,14,"R"
"Garage Days",6000000,14,"R"
"Garden State",2500000,12,"R"
"Garfield",50000000,12,"PG"
"Gattaca",36000000,19,"PG-13"
"Gatto nel cervello, Un",100000,26,"R"
"General's Daughter, The",60000000,17,"R"
"George of the Jungle",55000000,19,"PG"
"Gerry",3500000,14,"R"
"Get Carter",40000000,16,"R"
"Get Over It",10000000,15,"PG-13"
"Get Shorty",30250000,21,"R"
"Get on the Bus",2400000,20,"R"
"Ghost Ship",35000000,14,"R"
"Ghost World",7000000,16,"R"
"Ghost and the Darkness, The",55000000,20,"R"
"Ghosts of Mars",28000000,15,"R"
"Ghosts of the Abyss",13000000,13,"PG"
"Ghouls, The",9000,13,"R"
"Gift, The",10000000,16,"R"
"Gigli",54000000,13,"R"
"Ginger Snaps: Unleashed",3500000,12,"R"
"Gingerbread Man, The",25000000,18,"R"
"Girl 6",12000000,20,"R"
"Girl, Interrupted",24000000,17,"R"
"Gladiator",103000000,16,"R"
"Glitter",22000000,15,"PG-13"
"Global Heresy",12000000,14,"R"
"Gloria",30000000,17,"R"
"Go",6500000,17,"R"
"Go Fish",15000,22,"R"
"Goat on Fire and Smiling Fish",40000,17,"R"
"God's Army",300000,16,"PG"
"Gods and Generals",56000000,13,"PG-13"
"Gods and Monsters",3500000,18,"R"
"Going Greek",198000,15,"R"
"Gojira ni-sen mireniamu",1000000,17,"PG"
"Golden Bowl, The",15000000,16,"R"
"GoldenEye",80000000,21,"PG-13"
"Gone Fishin'",53000000,19,"PG"
"Gone in Sixty Seconds",90000000,16,"PG-13"
"Gong fu",20000000,12,"R"
"Good Boy!",18000000,13,"PG"
"Good Burger",9000000,19,"PG"
"Good Girl, The",5000000,14,"R"
"Good Will Hunting",10000000,19,"R"
"Gosford Park",15000000,15,"R"
"Gothika",40000000,13,"R"
"Grace of My Heart",5000000,20,"R"
"Granny, The",1000000,21,"R"
"Grave, The",4000000,20,"R"
"Gravesend",65000,19,"R"
"Great White Hope, The",6000000,46,"PG-13"
"Green Mile, The",60000000,17,"R"
"Greenskeeper, The",80000,14,"R"
"Grey Owl",30000000,17,"PG-13"
"Grey Zone, The",5000000,15,"R"
"Grim",1000000,21,"R"
"Groove",500000,16,"R"
"Grosse Pointe Blank",15000000,19,"R"
"Grudge, The",10000000,12,"PG-13"
"Grumpier Old Men",25000000,21,"PG-13"
"Guinevere",2600000,17,"R"
"Gun Shy",10000000,16,"R"
"Guru, The",11000000,14,"R"
"Guy Thing, A",20000000,13,"PG-13"
"Hairshirt",65000,18,"R"
"Half Past Dead",30000000,14,"PG-13"
"Halloween H20: 20 Years Later",17000000,18,"R"
"Halloween: Resurrection",15000000,14,"R"
"Halloween: The Curse of Michael Myers",5000000,21,"R"
"Hanging Up",40000000,16,"PG-13"
"Hangman's Curse",2000000,13,"PG-13"
"Hannibal",87000000,15,"R"
"Happy Gilmore",10000000,20,"PG-13"
"Happy, Texas",1700000,17,"PG-13"
"Hard Ball",21000000,15,"PG-13"
"Hard Rain",70000000,18,"R"
"Hardware",1500000,26,"R"
"Harold & Kumar Go to White Castle",9000000,12,"R"
"Harriet the Spy",13000000,20,"PG"
"Harry Potter and the Chamber of Secrets",100000000,14,"PG"
"Harry Potter and the Prisoner of Azkaban",130000000,12,"PG"
"Harry Potter and the Sorcerer's Stone",130000000,15,"PG"
"Hart's War",70000000,14,"R"
"Harvard Man",5500000,15,"R"
"Haunted Mansion, The",90000000,13,"PG"
"Haunting, The",80000000,17,"PG-13"
"Hav Plenty",650000,19,"R"
"He Got Game",25000000,18,"R"
"Head Over Heels",14000000,15,"PG-13"
"Heart of America",3000000,13,"R"
"Heart of Me, The",7000000,14,"R"
"Heartbreakers",40000000,15,"PG-13"
"Hearts in Atlantis",31000000,15,"PG-13"
"Heat",60000000,21,"R"
"Heaven",11000000,14,"R"
"Heaven's Prisoners",25000000,20,"R"
"Heavenly Creatures",5000000,22,"R"
"Heavy Metal 2000",15000000,16,"R"
"Hedwig and the Angry Inch",6000000,15,"R"
"Held Up",8000000,17,"PG-13"
"Helix... Loaded, The",1000000,11,"R"
"Hellboy",66000000,12,"PG-13"
"Hellraiser: Bloodline",4000000,20,"R"
"Henry V",9000000,27,"PG-13"
"Here on Earth",15000000,16,"PG-13"
"Hey Arnold! The Movie",10000000,14,"PG"
"Hidalgo",78000000,12,"PG-13"
"Hidden Agenda",5000000,15,"R"
"Hidden Assassin",11000000,21,"R"
"Hide and Seek",30000000,11,"R"
"Hideous Kinky",12000000,18,"R"
"High Crimes",42000000,14,"PG-13"
"High Fidelity",20000000,16,"R"
"High Strung",300000,25,"PG"
"Highlander",16000000,30,"R"
"Highlander II: The Quickening",30000000,25,"R"
"Highlander III: The Sorcerer",26000000,22,"PG-13"
"Highlander: Endgame",15000000,16,"R"
"Hillz, The",100000,12,"R"
"HipHopBattle.com: Hip Hop 4 Life",12000,15,"PG-13"
"Hit and Runway",1200000,17,"R"
"Hitchhiker's Guide to the Galaxy, The",50000000,11,"PG"
"Holes",30000000,13,"PG"
"Hollow Man",95000000,16,"R"
"Hollywood Ending",16000000,14,"PG-13"
"Hollywood Homicide",75000000,13,"PG-13"
"Hollywood North",7000000,13,"R"
"Hollywood Sign, The",12000000,15,"R"
"Holy Man",60000000,18,"PG"
"Home Fries",15000000,18,"PG-13"
"Home at the End of the World, A",6500000,12,"R"
"Home on the Range",110000000,12,"PG"
"Hometown Legend",2000000,14,"PG"
"Honey",17000000,13,"PG-13"
"Hong faan kui",7500000,20,"R"
"Hope Floats",30000000,18,"PG-13"
"Horse Whisperer, The",60000000,18,"PG-13"
"Hours, The",25000000,14,"PG-13"
"House of 1000 Corpses",7000000,13,"R"
"House of Mirth, The",10000000,16,"PG"
"House of Sand and Fog",16000000,13,"R"
"House of Wax",30000000,11,"R"
"House of Yes, The",1500000,19,"R"
"House of the Dead",7000000,13,"R"
"House on Haunted Hill",19000000,17,"R"
"House on Turk Street, The",12000000,14,"R"
"How Harry Became a Tree",6000000,15,"R"
"How High",12000000,15,"R"
"How Stella Got Her Groove Back",20000000,18,"R"
"How the Grinch Stole Christmas",123000000,16,"PG"
"How to Deal",16000000,13,"PG-13"
"How to Kill Your Neighbor's Dog",7300000,16,"R"
"How to Lose a Guy in 10 Days",50000000,13,"PG-13"
"Hulk",120000000,13,"PG-13"
"Hurricane",500000,19,"R"
"Hurricane, The",38000000,17,"R"
"Husbands",1000000,46,"PG-13"
"I Am Sam",22000000,15,"PG-13"
"I Capture the Castle",8000000,13,"R"
"I Dreamed of Africa",34000000,16,"PG-13"
"I Got the Hook Up",3500000,18,"R"
"I Heart Huckabees",22000000,12,"R"
"I Inside, The",8800000,13,"R"
"I Know What You Did Last Summer",17000000,19,"R"
"I Married a Strange Person!",250000,19,"R"
"I Spy",70000000,14,"PG-13"
"I Still Know What You Did Last Summer",24000000,18,"R"
"I'm with Lucy",15000000,14,"R"
"I, Robot",105000000,12,"PG-13"
"Ice Age",60000000,14,"PG"
"Ice Cream Man",2000000,21,"R"
"Ice Storm, The",18000000,19,"R"
"Ideal Husband, An",14000000,17,"PG-13"
"Identity",30000000,13,"R"
"Idle Hands",20000000,17,"R"
"Igby Goes Down",9000000,14,"R"
"Imaginary Heroes",10000000,12,"R"
"Importance of Being Earnest, The",15000000,14,"PG"
"Impostor",40000000,14,"R"
"In & Out",35000000,19,"PG-13"
"In Crowd, The",15000000,16,"PG-13"
"In Dreams",30000000,17,"R"
"In This World",1900000,14,"R"
"In the Bedroom",1700000,15,"R"
"In the Company of Men",25000,19,"R"
"In the Cut",12000000,13,"R"
"In the Shadows",10000000,15,"R"
"Incident at Loch Ness",1400000,12,"PG-13"
"Incredibles, The",92000000,12,"PG"
"Incredibly True Adventure of Two Girls in Love, The",250000,21,"R"
"Independence Day",75000000,20,"PG-13"
"Indian in the Cupboard, The",45000000,21,"PG"
"Insider, The",68000000,17,"R"
"Insight of Evil",120000,13,"R"
"Insomnia",46000000,14,"R"
"Inspector Gadget",75000000,17,"PG"
"Instinct",55000000,17,"R"
"Intended, The",3800000,14,"R"
"Intermission",5000000,13,"R"
"Interpreter, The",80000000,11,"PG-13"
"Interstate 60",7000000,14,"R"
"Interview with the Assassin",750000,14,"R"
"Into the Sun",16000000,11,"R"
"Intolerable Cruelty",60000000,13,"PG-13"
"Intruder, The",80000,54,"PG-13"
"Invasions barbares, Les",5000000,13,"R"
"Iron Giant, The",48000000,17,"PG"
"Island of Dr. Moreau, The",40000000,20,"PG-13"
"Isn't She Great",36000000,16,"R"
"Italian Job, The",60000000,13,"PG-13"
"JFK",40000000,25,"R"
"Jack",45000000,20,"PG-13"
"Jack Frost",50000000,18,"PG"
"Jackal, The",60000000,19,"R"
"Jackass: The Movie",5000000,14,"R"
"Jacket, The",19000000,11,"R"
"Jackie Brown",12000000,19,"R"
"Jackpot",400000,15,"R"
"Jade",50000000,21,"R"
"Jake's Booty Call",50000,13,"R"
"Jakob the Liar",15000000,17,"PG-13"
"James and the Giant Peach",38000000,20,"PG"
"Japanese Story",5740000,13,"R"
"Jason X",14000000,15,"R"
"Jay and Silent Bob Strike Back",22000000,15,"R"
"Jeepers Creepers",10000000,15,"R"
"Jeepers Creepers II",25000000,13,"R"
"Jefferson in Paris",14000000,21,"PG-13"
"Jennifer's Shadow",1000000,12,"R"
"Jerry Maguire",50000000,20,"R"
"Jerry and Tom",5000000,18,"R"
"Jersey Girl",35000000,12,"PG-13"
"Jesus' Son",2500000,17,"R"
"Jimmy Show, The",1000000,15,"R"
"Jing cha gu shi III: Chao ji jing cha",900000,24,"R"
"Jingle All the Way",60000000,20,"PG"
"Jisatsu saakuru",250000,14,"R"
"Joe Dirt",16000000,15,"PG-13"
"Joe Somebody",38000000,15,"PG"
"Joe's Apartment",13000000,20,"PG-13"
"John Q",36000000,14,"PG-13"
"Johnny English",35000000,13,"PG"
"Johnson Family Vacation",12000000,12,"PG-13"
"Josie and the Pussycats",22000000,15,"PG-13"
"Joy Ride",23000000,15,"R"
"Judge Dredd",90000000,21,"R"
"Judgment",11000000,15,"PG-13"
"Jui kuen II",2000000,22,"R"
"Julie Walking Home",5000000,14,"R"
"Jumanji",65000000,21,"PG"
"Jurassic Park III",93000000,15,"PG-13"
"Juror, The",44000000,20,"R"
"Just Looking",3000000,17,"R"
"Just the Ticket",12000000,17,"R"
"Juwanna Mann",15600000,14,"PG-13"
"K-19: The Widowmaker",100000000,14,"PG-13"
"K-PAX",48000000,15,"PG-13"
"Kama Sutra: A Tale of Love",3000000,20,"R"
"Kangaroo Jack",60000000,13,"PG"
"Kansas City",19000000,20,"R"
"Karakter",4500000,19,"R"
"Kate & Leopold",48000000,15,"PG-13"
"Keane",850000,12,"R"
"Keeping the Faith",30000000,16,"PG-13"
"Kejar Amerika",100000,12,"PG-13"
"Kicked in the Head",4000000,19,"R"
"Kid, The",65000000,16,"PG"
"Kill Bill: Vol. 1",55000000,13,"R"
"Kill Bill: Vol. 2",30000000,12,"R"
"Killer Eye, The",400000,17,"R"
"Killers",100000,19,"R"
"Killing Me Softly",25000000,14,"R"
"Kimberly",2000000,17,"R"
"King Arthur",90000000,12,"R"
"Kingdom of Heaven",130000000,11,"R"
"Kingpin",25000000,20,"PG-13"
"Kinsey",11000000,12,"R"
"Kiss of the Dragon",25000000,15,"R"
"Kiss or Kill",2000000,19,"R"
"Kiss the Girls",27000000,19,"R"
"Kiss the Sky",6000000,17,"R"
"Kiss, The",6000,12,"PG-13"
"Kissing Jessica Stein",1000000,15,"R"
"Knight's Tale, A",41000000,15,"PG-13"
"Knock Off",35000000,18,"R"
"Kontroll",500000,13,"R"
"Kundun",28000000,19,"PG-13"
"Kung Pow: Enter the Fist",10000000,14,"PG-13"
"LD 50 Lethal Dose",8000000,13,"R"
"Lady of the Lake",60000,18,"R"
"Ladykillers, The",35000000,12,"R"
"Lake Placid",27000000,17,"R"
"Lana's Rain",215000,14,"R"
"Lara Croft Tomb Raider: The Cradle of Life",90000000,13,"PG-13"
"Lara Croft: Tomb Raider",80000000,15,"PG-13"
"Lashou shentan",4500000,24,"R"
"Last Castle, The",60000000,15,"R"
"Last Horror Movie, The",780000,13,"R"
"Last Man Standing",67000000,20,"R"
"Last Orders",12000000,15,"R"
"Last Patrol, The",8200000,16,"PG-13"
"Last Picture Show, The",1300000,45,"R"
"Last Resort, The",5000000,19,"PG-13"
"Last Samurai, The",100000000,13,"R"
"Last Time I Committed Suicide, The",4000000,19,"R"
"Latter Days",850000,13,"R"
"Lawn Dogs",8000000,19,"R"
"Laws of Attraction",28000000,12,"PG-13"
"League of Extraordinary Gentlemen, The",78000000,13,"PG-13"
"Learning Curve, The",1000000,15,"R"
"Leaving Las Vegas",4000000,21,"R"
"Legally Blonde",18000000,15,"PG-13"
"Legally Blonde 2: Red, White & Blonde",45000000,13,"PG-13"
"Legend of Bagger Vance, The",60000000,16,"PG-13"
"Legend of the Mummy",2000000,19,"R"
"Leggenda del pianista sull'oceano, La",9000000,18,"R"
"Legion of the Dead",2700000,15,"R"
"Legionnaire",35000000,18,"R"
"Lemony Snicket's A Series of Unfortunate Events",125000000,12,"PG"
"Lengua asesina, La",4000000,20,"R"
"Lethal Weapon 4",140000000,18,"R"
"Levity",7500000,13,"R"
"Liar Liar",45000000,19,"PG-13"
"Liberty Stands Still",11000000,14,"R"
"Life",75000000,17,"R"
"Life Aquatic with Steve Zissou, The",25000000,12,"R"
"Life Less Ordinary, A",12000000,19,"R"
"Life as a House",18000000,15,"R"
"Life of David Gale, The",50000000,13,"R"
"Light It Up",13000000,17,"R"
"Like Mike",30000000,14,"PG"
"Lilo & Stitch",80000000,14,"PG"
"Limbo",8300000,17,"R"
"Limey, The",9000000,17,"R"
"Little Black Book",35000000,12,"PG-13"
"Little Nicky",80000000,16,"PG-13"
"Little Secrets",2500000,15,"PG"
"Little Vampire, The",22000000,16,"PG"
"Livers Ain't Cheap",2500000,19,"R"
"Living Out Loud",12000000,18,"R"
"Lizzie McGuire Movie, The",17000000,13,"PG"
"Lolita",58000000,19,"R"
"Lone Star",5000000,20,"R"
"Long Kiss Goodnight, The",65000000,20,"R"
"Looney Tunes: Back in Action",80000000,13,"PG"
"Lord of the Rings: The Fellowship of the Ring, The",93000000,15,"PG-13"
"Lord of the Rings: The Return of the King, The",94000000,13,"PG-13"
"Lord of the Rings: The Two Towers, The",94000000,14,"PG-13"
"Loser",20000000,16,"PG-13"
"Losing Isaiah",17000000,21,"R"
"Loss of Sexual Innocence, The",4000000,17,"R"
"Lost Highway",15000000,19,"R"
"Lost Souls",28000000,16,"R"
"Lost World: Jurassic Park, The",73000000,19,"PG-13"
"Lost in Space",80000000,18,"PG-13"
"Lost in Translation",4000000,13,"R"
"Lot Like Love, A",30000000,11,"PG-13"
"Love & Basketball",15000000,16,"PG-13"
"Love Letter, The",15000000,17,"PG-13"
"Love Liza",1000000,14,"R"
"Love Object",1000000,13,"R"
"Love Stinks",4000000,17,"R"
"Love Story",2200000,46,"PG"
"Love and Other Catastrophes",250000,20,"R"
"Love's Labour's Lost",13000000,16,"PG"
"Lovely & Amazing",250000,15,"R"
"Lover Girl",1000000,19,"R"
"Lucky 13",1200000,12,"R"
"Lucky Break",6000000,15,"PG-13"
"Lucky Numbers",65000000,16,"R"
"Luminarias",1000000,16,"R"
"Lunes al sol, Los",4000000,14,"R"
"MASH",3500000,46,"R"
"Mad City",50000000,19,"PG-13"
"Made",5000000,15,"R"
"Madhouse",3000000,12,"R"
"Madonna: Truth or Dare",4500000,25,"R"
"Magnolia",37000000,17,"R"
"Maid in Manhattan",55000000,14,"PG-13"
"Mailman, The",75000,12,"R"
"Majestic, The",72000000,15,"PG"
"Major Dundee",3800000,51,"PG-13"
"Malibu's Most Wanted",16000000,13,"PG-13"
"Mallrats",6100000,21,"R"
"Man Apart, A",36000000,13,"R"
"Man Who Wasn't There, The",20000000,15,"R"
"Man from Elysian Fields, The",6500000,15,"R"
"Man in the Iron Mask, The",35000000,18,"PG-13"
"Man of the House",40000000,11,"PG-13"
"Man on Fire",70000000,12,"R"
"Man on the Moon",52000000,17,"R"
"Man-Thing",30000000,11,"R"
"Manny & Lo",500000,20,"R"
"Maquinista, El",5000000,12,"R"
"Marci X",20000000,13,"R"
"Marilyn's Man",825000,12,"PG"
"Mars Attacks!",70000000,20,"PG-13"
"Martin Lawrence Live: Runteldat",3000000,14,"R"
"Marvin's Room",23000000,20,"PG-13"
"Mary Reilly",47000000,20,"R"
"Mask of Zorro, The",65000000,18,"PG-13"
"Master and Commander: The Far Side of the World",150000000,13,"PG-13"
"Master of Disguise, The",16000000,14,"PG"
"Matilda",36000000,20,"PG"
"Matrix Reloaded, The",127000000,13,"R"
"Matrix Revolutions, The",110000000,13,"R"
"Matrix, The",63000000,17,"R"
"Max Keeble's Big Move",12000000,15,"PG"
"May",1700000,14,"R"
"Mayerling",5000000,48,"PG-13"
"McHale's Navy",42000000,19,"PG"
"Me, Myself & Irene",51000000,16,"R"
"Mean Creek",500000,12,"R"
"Mean Girls",17000000,12,"PG-13"
"Medallion, The",41000000,13,"PG-13"
"Meet Joe Black",90000000,18,"PG-13"
"Meet the Deedles",24000000,18,"PG"
"Meet the Fockers",80000000,12,"PG-13"
"Meet the Parents",55000000,16,"PG-13"
"Megiddo: The Omega Code 2",22000000,15,"PG-13"
"Memento",5000000,16,"R"
"Men in Black",90000000,19,"PG-13"
"Men in Black II",140000000,14,"PG-13"
"Men of Honor",32000000,16,"R"
"Men of War",12000000,22,"R"
"Men with Brooms",7500000,14,"R"
"Menace II Society",3500000,23,"R"
"Merchant of Venice, The",30000000,12,"R"
"Mercury Rising",60000000,18,"R"
"Mercy Streets",600000,16,"PG-13"
"Message in a Bottle",30000000,17,"PG-13"
"Metoroporisu",14500000,15,"PG-13"
"Metro",55000000,19,"R"
"Mexican, The",38000000,15,"R"
"Michael Moore Hates America",200000,12,"R"
"Mickey",6000000,12,"PG"
"Mickey Blue Eyes",40000000,17,"PG-13"
"Midnight in the Garden of Good and Evil",30000000,19,"R"
"Mighty Aphrodite",15000000,21,"R"
"Mighty Joe Young",49000000,18,"PG"
"Million Dollar Baby",30000000,12,"PG-13"
"Million Dollar Hotel, The",8000000,16,"R"
"Mimic",25000000,19,"R"
"Mindhunters",27000000,12,"R"
"Minion, The",12000000,18,"R"
"Minority Report",102000000,14,"PG-13"
"Mirror Has Two Faces, The",42000000,20,"PG-13"
"Miss Congeniality",45000000,16,"PG-13"
"Mission: Impossible",75000000,20,"PG-13"
"Mission: Impossible II",125000000,16,"PG-13"
"Modern Vampires",2000000,18,"R"
"Modigliani",12000000,12,"R"
"Molly",21000000,17,"PG-13"
"Molly Maguires, The",11000000,46,"PG"
"Mona Lisa Smile",65000000,13,"PG-13"
"Money Talks",25000000,19,"R"
"Money Train",68000000,21,"R"
"Monkeybone",75000000,15,"PG-13"
"Monsoon Wife",1000000,12,"R"
"Monster",8000000,13,"R"
"Monster's Ball",4000000,15,"R"
"Monster-in-Law",60000000,11,"PG-13"
"Montana",4000000,18,"R"
"Moonlight Mile",20000000,14,"PG-13"
"Mortal Kombat",20000000,21,"PG-13"
"Mortal Kombat: Annihilation",30000000,19,"PG-13"
"Mosquito",200000,21,"R"
"Mother Night",5500000,20,"R"
"Mothman Prophecies, The",42000000,14,"PG-13"
"Moulin Rouge!",52500000,15,"PG-13"
"Mousehunt",38000000,19,"PG"
"Mr 3000",30000000,12,"PG-13"
"Mr. Deeds",50000000,14,"PG-13"
"Mrs. Winterbourne",25000000,20,"PG-13"
"Mudge Boy, The",800000,13,"R"
"Muertos de risa",3500000,17,"R"
"Mulholland Dr.",15000000,15,"R"
"Multiplicity",45000000,20,"PG-13"
"Mumford",28000000,17,"R"
"Mummy Returns, The",98000000,15,"PG-13"
"Mummy, The",76000000,17,"PG-13"
"Murder by Numbers",50000000,14,"R"
"Murders in the Rue Morgue",700000,45,"PG-13"
"Muriel's Wedding",3000000,22,"R"
"Muse, The",15000000,17,"PG-13"
"Music of the Heart",27000000,17,"PG"
"Musketeer, The",40000000,15,"PG-13"
"Mutant Aliens",200000,15,"R"
"Mutant Species",1750000,21,"R"
"Mute Witness",2000000,22,"R"
"My Best Friend's Wedding",46000000,19,"PG-13"
"My Big Fat Greek Wedding",5000000,14,"PG"
"My Boss's Daughter",14000000,13,"R"
"My Cousin Vinny",11000000,24,"R"
"My Dog Skip",7000000,16,"PG"
"My Family",5500000,21,"R"
"My Favorite Martian",60000000,17,"PG"
"My Fellow Americans",21500000,20,"PG-13"
"My Life's in Turnaround",22000,23,"R"
"My Little Eye",3000000,14,"R"
"Mystery Men",68000000,17,"PG-13"
"Mystery, Alaska",28000000,17,"R"
"Mystic Masseur, The",2500000,15,"PG"
"Mystic River",30000000,13,"R"
"Nadie conoce a nadie",3000000,17,"R"
"Nadja",1000000,22,"R"
"Napoleon Dynamite",400000,12,"PG"
"Naqoyqatsi",3000000,14,"PG"
"Narc",7500000,14,"R"
"National Treasure",100000000,12,"PG"
"Nattens engel",700000,18,"R"
"Naturally Native",700000,18,"PG-13"
"Negotiator, The",50000000,18,"R"
"Nemesis Game",3000000,13,"R"
"Net, The",22000000,21,"PG-13"
"Never Again",500000,15,"R"
"New Guy, The",13000000,14,"PG-13"
"New Jersey Drive",5000000,21,"R"
"Newton Boys, The",27000000,18,"PG-13"
"Next Best Thing, The",25000000,16,"PG-13"
"Next Friday",9500000,16,"R"
"Next Stop Wonderland",1000000,18,"R"
"Nicholas Nickleby",10000000,14,"PG"
"Nil by Mouth",9000000,19,"R"
"Ninth Gate, The",38000000,17,"R"
"Nixon",50000000,21,"R"
"No Code of Conduct",12000000,18,"R"
"No Looking Back",5000000,18,"R"
"No Return",35000,13,"PG-13"
"No Way Home",4000000,20,"R"
"No Witness",350000,12,"R"
"Nochnoy dozor",4200000,12,"R"
"Northfork",1900000,13,"PG-13"
"Not Another Teen Movie",16000000,15,"R"
"Notebook, The",30000000,12,"PG-13"
"Notting Hill",42000000,17,"PG-13"
"November",300000,12,"R"
"Novocaine",6000000,15,"R"
"Nueve reinas",1500000,16,"R"
"Nurse Betty",24000000,16,"R"
"Nutty Professor II: The Klumps",84000000,16,"PG-13"
"Nutty Professor, The",54000000,20,"PG-13"
"O",5000000,15,"R"
"O Brother, Where Art Thou?",26000000,16,"PG-13"
"Object of My Affection, The",15000000,18,"R"
"Ocean's Eleven",85000000,15,"PG-13"
"Ocean's Twelve",110000000,12,"PG-13"
"Octane",11500000,13,"R"
"Octopus",5000000,16,"PG-13"
"Office Space",10000000,17,"R"
"Old School",24000000,13,"R"
"On the Border",3000000,18,"R"
"On the Line",10000000,15,"PG"
"Once Upon a Time in America",30000000,32,"R"
"Once Upon a Time in Mexico",29000000,13,"R"
"One Eight Seven",23000000,19,"R"
